"url","description"
"/our-cottages/nightingale","Nightingale sleeps two, with a kingsize en-suite master bedroom, kitchen dining area, sitting room and patio. Pets welcome."
"/our-cottages/partridge","Partridge sleeps six, with a super king en-suite master, a king and a twin room, a family shower room and a large enclosed patio. Pets welcome."
"/our-cottages/skylark","Skylark sleeps two, with a mezzanine en-suite bedroom and spacious modern living, set in the corner of our courtyard. Pets welcome."
"/our-cottages/swallow","Swallow sleeps five, with a kingsize en-suite master and an en-suite twin room, a large sitting area and a patio. Pets welcome."
"/our-cottages/swift","Swift sleeps six, with a kingsize en-suite master, two twin rooms, a family bathroom and a large sitting room. Pets welcome."
"/our-cottages/woodcock","Woodcock sleeps two at the end of the run of cottages, with a superking or twin en-suite bedroom, large sitting area and patio. Pets welcome."
"/our-cottages/wren","Wren sleeps two, with high ceilings, a spacious living area, a kingsize en-suite bedroom and a south-west facing patio. Pets welcome."
"/perfect-countryside-retreat","A guest review of a tranquil, peaceful stay in beautiful surroundings, in a modern and spotless cottage."
"/perfect-highly-recommended","A guest review of a stay in Skylark, from a guest who had never written a review before."
"/privacy-policy-2","How Blaco Hill Farm Cottages collects, uses and protects your personal information when you use this website or contact us."
"/very-good-value-for-money","A guest review of a group stay across several cottages, with good en-suite rooms and a handy location for nearby towns."
"/weekend-away-rebecca-p","A guest review of a weekend away for six, with a well-equipped cottage, linen provided and the games room as a bonus."
"/what-internet-speeds-can-i-expect","Our broadband runs at around the national average and supports streaming, video calls and working from home."
"/what-is-your-cancellation-policy","Let us know as soon as you can if you need to cancel. Depending on how close to arrival you cancel, you may lose your deposit."
"/what-length-of-stays-do-you-offer","We are flexible on length of stay, from a single night to a long-term let. Tell us what you need and we will help."
"/what-time-can-i-check-in-on-arrival-and-what-time-do-i-have-to-vacate-the-property-by-on-my-departure","Cottages are available from 3pm on arrival, and we ask guests to vacate by 10am on departure. We can be flexible if you need different times."
"/where-should-i-park","There is a designated car park for the cottages, with some under-cover parking close to every cottage."
"/will-i-receive-a-refund-if-i-cancel","Refunds are made at our discretion and each case is considered individually. Get in touch and talk to us about your circumstances."
"/wonderful","A guest review of a comfortable, cosy stay with underfloor heating and a well-stocked games room library."
"/wonderful-country-views-in-cosy-newly-converted-barns","A guest review of a newly converted barn with a mezzanine bedroom, a comfy bed and a warm welcome on a late arrival."
